id,name,url
8127,Assistent/in Gesundheit und Soziales EBA,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=8127
8147,Assistent/in Seminarleitung,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=8147
3691,Astrologe/-login,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=3691
12098,Astronaut/in,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=12098
5954,Astronom/in,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=5954
10489,Atemtherapeut/in,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=10489
6675,Audio Engineer,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=6675
3714,Audioagoge/-agogin,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=3714
1507,Audiodesigner/in FH,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=1507
3660,Audiopädagoge/-pädagogin,https://www.berufsberatung.ch/dyn/show/1900?lang=de&id=3660
7190,Auditor/in (Gericht),https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=7190
3244,Aufnahmeleiter/in beim Fernsehen,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=3244
8219,Aufzugsmonteur/in,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=8219
3246,Augenoptiker/in EFZ,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=3246
3820,Ausbilder/in BP,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=3820
10298,Ausbilder/in Einzelbegleitungen,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=10298
6692,Ausbildungsleiter/in HFP,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=6692
2563,Ausbildungsverantwortliche/r in Gesundheitsinstitutionen,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=2563
2258,Aussendienst-Mitarbeiter/in im Möbelhandel,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=2258
8155,Aussenhandelsfachmann/-frau BP,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=8155
8160,Aussenhandelsleiter/in HFP,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=8160
1462,Ausstattungsleiter/in,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=1462
3794,Automatiker/in EFZ,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=3794
3795,Automatikfachmann/-frau BP,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=3795
3837,Automatikmonteur/in EFZ,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=3837
2971,Automechaniker/in (frühere Bezeichnung),https://www.berufsberatung.ch/dyn/show/1900?lang=de&id=2971
4031,"Automechaniker/in, dipl. (veraltete Bezeichnung)",https://www.berufsberatung.ch/dyn/show/1900?lang=de&id=4031
3121,Automobil- und Fahrzeugingenieur/in FH,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=3121
7075,Automobil-Assistent/in EBA,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=7075
2947,Automobildiagnostiker/in BP,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=2947
2970,Automobil-Fachmann/-frau EFZ,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=2970
2971,Automobil-Mechatroniker/in EFZ,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=2971
4073,Automobil-Serviceberater/in BP,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=4073
3644,Automobil-Verkaufsberater/in BP,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=3644
9646,Automobil-Werkstattkoordinator/in BP,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=9646
2970,Automonteur/in (frühere Bezeichnung),https://www.berufsberatung.ch/dyn/show/1900?lang=de&id=2970
7606,Autor/in FH,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=7606
6929,Aviatikingenieur/in FH,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=6929
5820,Ayurveda-Therapeut/in,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=5820
7969,Bäcker/in-Konditor/in-Confiseur/in EBA,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=7969
2956,Bäcker/in-Konditor/in-Confiseur/in EFZ,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=2956
8245,Badangestellte/r,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=8245
6684,Bahnhofhelfer/in,https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=6684
5567,Bahnsteward/-stewardess (Speisewagen),https://www.berufsberatung.ch/dyn/show/1900?lang=de&idx=10000&id=5567
